 N;25; F; Private; Some-college;40; Married-civ-spouse
 N;18; F; Private; HS-grad;30; Never-married
 Y;47; F; Private, Prof-school;60; Married-civ-spouse
 Y;50; M; Federal-gov; Bachelors;55; Divorced
 N;47; M; Self-emp-inc; HS-grad;60; Divorced
 Y;43; M; Private; Some-college;40; Married-civ-spouse
 N;46; M; Private; 5th-6th;40; Married-civ-spouse
 N;35; M; Private; Assoc-voc;40; Married-civ-spouse
 N;41; M; Private; HS-grad;48; Married-civ-spouse
 N,30; M; Private, HS-grad;40; Married-civ-spouse
 N;30; M; Private; Bachelors;40; Married-civ-spouse
 N;32; M;; 7th-8th;40; Married-spouse-absent
 N;48; M; Private; HS-grad;40; Married-civ-spouse
 Y;42; M; Private; Doctorate;45; Married-civ-spouse
 N;29; M; Private; Some-college;58; Divorced
 N;36; M; Private; HS-grad;40; Married-civ-spouse
 N;28; F; Private; Some-college;40; Divorced
 Y;53; F; Private; HS-grad;40; Married-civ-spouse
 Y;49; M; Self-emp-inc; Some-college;50; Married-civ-spouse
 N;; M;; Some-college;40; Never-married
 N;19; M; Private; Some-college;32; Never-married
 N;31; F; Private; Bachelors;40; Separated
 Y;29; M; Self-emp-not-inc; Bachelors;70; Married-civ-spouse
 N;23; M; Private; Some-college;40; Never-married
 N;79; M; Private; Some-college;20; Married-civ-spouse
 N;27; M; Private; HS-grad;40; Never-married
 N;40; M; Private; Assoc-acdm;40; Married-civ-spouse
 N;67; M;; 10th;2; Married-civ-spouse
 N;18; F; Private; 11th;22; Never-married
 N;31; M; Local-gov; 7th-8th;40; Married-civ-spouse
 N;18; M; Private; HS-grad;30; Never-married
 N;52; M; Private; Bachelors;40; Married-civ-spouse
 N;46; F; Private; HS-grad;40; Married-civ-spouse
 N;59; M; Private; HS-grad;48; Married-civ-spouse
 Y;44; F; Private; HS-grad;40; Divorced
 N;53; F; Private; HS-grad;35; Divorced
 Y;49; M; Local-gov; HS-grad;40; Married-civ-spouse
 N,33, M, Private, Masters,50, Married-civ-spouse
 N;30; M; Private; 9th;40; Never-married
 Y;43; F; Federal-gov; Doctorate;50; Never-married
 N;57; M; Private; Assoc-voc;40; Married-civ-spouse
 N;37; F; Private; Some-college;40; Divorced
 N;28; F; Private; Some-college;25; Divorced
 N;30; F; Private; HS-grad;35; Married-civ-spouse
 Y;34; M; Local-gov; Bachelors;40; Married-civ-spouse
 N;29; M; Local-gov; Some-college;50; Never-married
 Y;48; M; Self-emp-not-inc; Doctorate;60; Married-civ-spouse
 Y;37; M; Private; Some-college;48; Married-civ-spouse
 N;48; F; Private; Assoc-acdm;40; Divorced
 N;32; M; Federal-gov; HS-grad;40; Never-married
